============================================================
Neural Mutator Evolution (True Self-Replication)
============================================================
Environment: CartPole-v1 (obs=4, act=2)
Genome: 4610 policy params + 33089 mutator params = 37699 total
Mutator type: chunk, Quine lambda: 0.5
Population: 30, Generations: 100

Gen   62 | Best:   138.00 | Mean:    85.37 | Fidelity: 0.0057 | Drift: 14.1855
Gen   63 | Best:   129.60 | Mean:    84.05 | Fidelity: 0.0056 | Drift: 14.1861
Gen   64 | Best:   137.40 | Mean:    86.79 | Fidelity: 0.0055 | Drift: 14.1862
Gen   65 | Best:   139.20 | Mean:    86.86 | Fidelity: 0.0054 | Drift: 14.1856
Gen   66 | Best:   134.60 | Mean:    84.86 | Fidelity: 0.0053 | Drift: 14.1868
Gen   67 | Best:   133.60 | Mean:    84.08 | Fidelity: 0.0053 | Drift: 14.1868
Gen   68 | Best:   140.60 | Mean:    85.25 | Fidelity: 0.0052 | Drift: 14.1862
Gen   69 | Best:   134.80 | Mean:    85.42 | Fidelity: 0.0051 | Drift: 14.1862
Gen   70 | Best:   136.80 | Mean:    86.88 | Fidelity: 0.0050 | Drift: 14.1854
Gen   71 | Best:   135.00 | Mean:    85.98 | Fidelity: 0.0049 | Drift: 14.1858
Gen   72 | Best:   133.60 | Mean:    85.83 | Fidelity: 0.0048 | Drift: 14.1865
Gen   73 | Best:   135.20 | Mean:    85.40 | Fidelity: 0.0047 | Drift: 14.1854
Gen   74 | Best:   134.80 | Mean:    86.33 | Fidelity: 0.0047 | Drift: 14.1870
Gen   75 | Best:   132.20 | Mean:    85.63 | Fidelity: 0.0045 | Drift: 14.1872
Gen   76 | Best:   141.60 | Mean:    85.11 | Fidelity: 0.0044 | Drift: 14.1857
Gen   77 | Best:   144.00 | Mean:    85.77 | Fidelity: 0.0043 | Drift: 14.1864
Gen   78 | Best:   134.80 | Mean:    84.81 | Fidelity: 0.0043 | Drift: 14.1854
Gen   79 | Best:   137.40 | Mean:    86.76 | Fidelity: 0.0042 | Drift: 14.1857
Gen   80 | Best:   138.00 | Mean:    86.48 | Fidelity: 0.0041 | Drift: 14.1860
Gen   81 | Best:   141.00 | Mean:    85.78 | Fidelity: 0.0040 | Drift: 14.1860
Gen   82 | Best:   137.80 | Mean:    86.10 | Fidelity: 0.0039 | Drift: 14.1861
Gen   83 | Best:   131.60 | Mean:    86.06 | Fidelity: 0.0038 | Drift: 14.1863
Gen   84 | Best:   135.80 | Mean:    86.66 | Fidelity: 0.0037 | Drift: 14.1857
Gen   85 | Best:   132.20 | Mean:    87.70 | Fidelity: 0.0036 | Drift: 14.1855
Gen   86 | Best:   134.80 | Mean:    84.60 | Fidelity: 0.0036 | Drift: 14.1858
Gen   87 | Best:   141.80 | Mean:    87.83 | Fidelity: 0.0035 | Drift: 14.1859
Gen   88 | Best:   137.40 | Mean:    87.93 | Fidelity: 0.0034 | Drift: 14.1860
Gen   89 | Best:   141.20 | Mean:    87.46 | Fidelity: 0.0033 | Drift: 14.1857
Gen   90 | Best:   136.20 | Mean:    85.92 | Fidelity: 0.0032 | Drift: 14.1854
Gen   91 | Best:   129.00 | Mean:    86.67 | Fidelity: 0.0031 | Drift: 14.1860
